instance,final_metric,table3_with_internal,table3_with_idx,table3_with_arrival_obj,table3_with_paper_obj,table3_with_paper_status,table3_with_paper_feasible,gurobi_same_combo_obj,diff_same_combo_t3paper_minus_g,gurobi_best_internal,gurobi_best_idx,gurobi_best_obj,diff_best_t3paper_minus_gbest,match_table3_with_vs_gurobi_best_combo,table3_without_internal,table3_without_paper_obj
Instance1,paper_exact,"[16, 17]","[1, 2]",107.13666666666666,97.2799959899222,TIME_LIMIT,True,97.28,-4.010077802263368e-06,"[15, 17]","[0, 2]",94.63333333333333,2.646662656588873,False,"[17, 18]",106.80999999999999
Instance2,paper_exact,"[15, 16]","[0, 1]",10.313333333333333,9.656666442696965,TIME_LIMIT,True,9.62,0.03666644269696562,"[15, 16]","[0, 1]",9.62,0.03666644269696562,True,"[15, 19]",9.769999894222208
Instance3,paper_exact,"[15, 18]","[0, 3]",10.92,10.036666666666667,OPTIMAL,True,10.036666666666669,-1.7763568394002505e-15,"[15, 18]","[0, 3]",10.036666666666669,-1.7763568394002505e-15,True,"[15, 19]",10.490000000000002
Instance4,paper_exact,"[16, 17]","[1, 2]",9.386666666666667,7.3799998949488685,TIME_LIMIT,True,7.37,0.009999894948868437,"[16, 17]","[1, 2]",7.37,0.009999894948868437,True,"[17, 19]",7.966666605251746
Instance5,paper_exact,"[17, 19]","[2, 4]",10.383333333333335,8.843333111700044,TIME_LIMIT,True,8.843333333333335,-2.2163329127522502e-07,"[17, 19]","[2, 4]",8.843333333333335,-2.2163329127522502e-07,True,"[15, 16]",11.826666666666668
Instance6,paper_exact,"[15, 16]","[0, 1]",18.093333333333334,13.579998992490939,TIME_LIMIT,True,13.526666666666669,0.053332325824269944,"[15, 16]","[0, 1]",13.526666666666669,0.053332325824269944,True,"[15, 17]",25.896666666666672
Instance7,paper_exact,"[16, 18]","[1, 3]",88.95333333333335,81.25333092706617,TIME_LIMIT,True,81.23333333333333,0.019997593732838936,"[16, 18]","[1, 3]",81.23333333333333,0.019997593732838936,True,"[15, 16]",84.69999682833982
Instance8,paper_exact,"[15, 19]","[0, 4]",7.460000000000001,6.543333172239091,TIME_LIMIT,True,6.543333333333334,-1.6109424283428098e-07,"[15, 19]","[0, 4]",6.543333333333334,-1.6109424283428098e-07,True,"[17, 18]",8.003333129659262
Instance9,paper_exact,"[17, 19]","[2, 4]",101.69666666666666,92.4333312555978,TIME_LIMIT,True,92.43333333333334,-2.077735530292557e-06,"[15, 18]","[0, 3]",90.63333333333334,1.7999979222644669,False,"[17, 18]",92.47
Instance10,paper_exact,"[17, 19]","[2, 4]",112.6266666666667,107.73666038409348,TIME_LIMIT,True,105.17666666666668,2.5599937174268064,"[17, 19]","[2, 4]",105.17666666666668,2.5599937174268064,True,"[18, 19]",106.29998987627555
