instance,table3_combo,gurobi_combo,table3_obj,gurobi_obj,gap_table3_minus_gurobi,table3_time_sec,gurobi_time_sec
Instance1,"[1, 2]","[0, 2]",107.13666666666666,104.01333120934271,3.1233354573239467,23.378494099997624,100.26699995994568
Instance2,"[0, 1]","[0, 1]",10.313333333333334,10.306666657700694,0.006666675632640562,21.807484199998726,100.36500000953674
Instance3,"[0, 3]","[0, 3]",10.92,10.506666666666666,0.413333333333334,21.084330699995917,100.22100019454956
Instance4,"[1, 2]","[1, 2]",9.386666666666668,8.909999985890655,0.47666668077601315,22.983206099997915,100.42700004577637
Instance5,"[2, 4]","[2, 4]",10.383333333333335,9.876666401027084,0.5066669323062509,19.533039299996744,100.31900000572205
Instance6,"[0, 1]","[0, 1]",18.093333333333334,18.186666416400804,-0.09333308306747057,21.309329499999876,100.13600015640259
Instance7,"[1, 3]","[1, 3]",88.95333333333333,88.95666381701703,-0.0033304836836975937,38.279189799999585,100.20600008964539
Instance8,"[0, 4]","[0, 4]",7.460000000000001,7.4233332041922555,0.036666795807745345,24.372154199998477,100.65000009536743
Instance9,"[2, 4]","[2, 4]",101.69666666666669,101.44666624462798,0.25000042203870976,22.998192500002915,100.22099995613098
Instance10,"[2, 4]","[2, 4]",112.68,112.18,0.5,21.51847860000271,100.28400015830994
