instance,table3_combo_internal,gurobi_best_combo_internal,table3_paths_json,table3_repaired_paths_json,gurobi_best_paths_json
Instance1,"[16, 17]","[15, 17]",outputs/routes_bundle_10instances\Instance1_table3_fixedx_combo_16_17.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance1_table3_fixedx_combo_16_17_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance1_gurobi_best_combo_15_17.json
Instance2,"[15, 16]","[15, 16]",outputs/routes_bundle_10instances\Instance2_table3_fixedx_combo_15_16.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance2_table3_fixedx_combo_15_16_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance2_gurobi_best_combo_15_16.json
Instance3,"[15, 18]","[15, 18]",outputs/routes_bundle_10instances\Instance3_table3_fixedx_combo_15_18.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance3_table3_fixedx_combo_15_18_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance3_gurobi_best_combo_15_18.json
Instance4,"[16, 17]","[16, 17]",outputs/routes_bundle_10instances\Instance4_table3_fixedx_combo_16_17.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance4_table3_fixedx_combo_16_17_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance4_gurobi_best_combo_16_17.json
Instance5,"[17, 19]","[17, 19]",outputs/routes_bundle_10instances\Instance5_table3_fixedx_combo_17_19.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance5_table3_fixedx_combo_17_19_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance5_gurobi_best_combo_17_19.json
Instance6,"[15, 16]","[15, 16]",outputs/routes_bundle_10instances\Instance6_table3_fixedx_combo_15_16.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance6_table3_fixedx_combo_15_16_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance6_gurobi_best_combo_15_16.json
Instance7,"[16, 18]","[16, 18]",outputs/routes_bundle_10instances\Instance7_table3_fixedx_combo_16_18.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance7_table3_fixedx_combo_16_18_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance7_gurobi_best_combo_16_18.json
Instance8,"[15, 19]","[15, 19]",outputs/routes_bundle_10instances\Instance8_table3_fixedx_combo_15_19.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance8_table3_fixedx_combo_15_19_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance8_gurobi_best_combo_15_19.json
Instance9,"[17, 19]","[17, 19]",outputs/routes_bundle_10instances\Instance9_table3_fixedx_combo_17_19.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance9_table3_fixedx_combo_17_19_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance9_gurobi_best_combo_17_19.json
Instance10,"[17, 19]","[17, 19]",outputs/routes_bundle_10instances\Instance10_table3_fixedx_combo_17_19.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance10_table3_fixedx_combo_17_19_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance10_gurobi_best_combo_17_19.json
