instance,with_open_depots_internal,with_final_obj_col3,with_open_depots,with_open_depots_base,with_final_obj,with_arrival_sim_obj_search,with_paper_exact_obj,with_paper_exact_status,with_paper_exact_feasible,with_runtime_sec,without_open_depots_internal,without_open_depots,without_open_depots_base,without_final_obj,without_arrival_sim_obj_search,without_paper_exact_obj,without_paper_exact_status,without_paper_exact_feasible,without_runtime_sec,final_metric,pct_gap_wo_vs_with,pct_cpu_decrease_wo_vs_with
Instance1,"[16, 17]",97.2799959899222,"[1, 2]","[2, 5]",97.2799959899222,107.13666666666666,97.2799959899222,TIME_LIMIT,True,23.378494099997624,"[17, 18]","[2, 3]","[5, 11]",106.80999999999999,138.81333333333333,106.80999999999999,OPTIMAL,True,0.010119899998244364,paper_exact,9.796468341821333,99.95671278075072
Instance2,"[15, 16]",9.656666442696965,"[0, 1]","[1, 3]",9.656666442696965,10.313333333333333,9.656666442696965,TIME_LIMIT,True,21.807484199998726,"[15, 19]","[0, 4]","[1, 12]",9.769999894222208,16.046666666666667,9.769999894222208,TIME_LIMIT,True,0.009909899999911431,paper_exact,1.1736291420830158,99.9545573441254
Instance3,"[15, 18]",10.036666666666667,"[0, 3]","[5, 8]",10.036666666666667,10.92,10.036666666666667,OPTIMAL,True,21.084330699995917,"[15, 19]","[0, 4]","[5, 14]",10.490000000000002,15.413333333333332,10.490000000000002,OPTIMAL,True,0.0097890000033658,paper_exact,4.516771836599152,99.95357215677059
Instance4,"[16, 17]",7.3799998949488685,"[1, 2]","[5, 10]",7.3799998949488685,9.386666666666667,7.3799998949488685,TIME_LIMIT,True,22.983206099997915,"[17, 19]","[2, 4]","[10, 14]",7.966666605251746,15.033333333333335,7.966666605251746,TIME_LIMIT,True,0.009770199998456519,paper_exact,7.9494135318946615,99.95748982993953
Instance5,"[17, 19]",8.843333111700044,"[2, 4]","[5, 10]",8.843333111700044,10.383333333333335,8.843333111700044,TIME_LIMIT,True,19.533039299996744,"[15, 16]","[0, 1]","[3, 4]",11.826666666666668,16.0,11.826666666666668,OPTIMAL,True,0.010259399998176377,paper_exact,33.73539724540702,99.94747668378378
Instance6,"[15, 16]",13.579998992490939,"[0, 1]","[3, 7]",13.579998992490939,18.093333333333334,13.579998992490939,TIME_LIMIT,True,21.309329499999876,"[15, 17]","[0, 2]","[3, 8]",25.896666666666672,67.69333333333333,25.896666666666672,OPTIMAL,True,0.005300400000123773,paper_exact,90.69711773164516,99.97512638771612
Instance7,"[16, 18]",81.25333092706617,"[1, 3]","[5, 8]",81.25333092706617,88.95333333333335,81.25333092706617,TIME_LIMIT,True,38.279189799999585,"[15, 16]","[0, 1]","[1, 5]",84.69999682833982,151.41333333333333,84.69999682833982,TIME_LIMIT,True,0.010363699999288656,paper_exact,4.2418764399547015,99.97292602049981
Instance8,"[15, 19]",6.543333172239091,"[0, 4]","[1, 14]",6.543333172239091,7.460000000000001,6.543333172239091,TIME_LIMIT,True,24.372154199998477,"[17, 18]","[2, 3]","[8, 12]",8.003333129659262,13.620000000000001,8.003333129659262,TIME_LIMIT,True,0.010131899995030835,paper_exact,22.312786449792952,99.95842837727068
Instance9,"[17, 19]",92.4333312555978,"[2, 4]","[6, 13]",92.4333312555978,101.69666666666666,92.4333312555978,TIME_LIMIT,True,22.998192500002915,"[17, 18]","[2, 3]","[6, 8]",92.47,150.67333333333335,92.47,OPTIMAL,True,0.010478000003786292,paper_exact,0.03967047806682977,99.95443989781464
Instance10,"[17, 19]",107.73666038409348,"[2, 4]","[4, 14]",107.73666038409348,112.6266666666667,107.73666038409348,TIME_LIMIT,True,21.51847860000271,"[18, 19]","[3, 4]","[6, 14]",106.29998987627555,175.83333333333334,106.29998987627555,TIME_LIMIT,True,0.01415629999974044,paper_exact,-1.3335019878062326,99.93421328587915
